id,date,state_name,state_code,office_name,office_code,type,category,registrations
172986,01-04-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,616
172995,01-08-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,704
173004,01-12-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,684
173012,01-02-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,554
173021,01-01-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,611
173029,01-07-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,687
173038,01-06-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,494
173047,01-03-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,929
173057,01-05-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,528
173065,01-11-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,465
173074,01-10-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,616
173083,01-09-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,532
173092,01-01-2024,Karnataka,29,Bengaluru Central Rto,KA1,Diesel,Fuel,711
173369,01-04-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,567
173378,01-08-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,545
173386,01-12-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,487
173395,01-02-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,481
173404,01-01-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,503
173412,01-07-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,610
173422,01-06-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,566
173431,01-03-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,818
173440,01-05-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,512
173449,01-11-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,686
173458,01-10-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,599
173467,01-09-2023,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,481
173476,01-01-2024,Karnataka,29,Bengaluru East Rto,KA3,Diesel,Fuel,472
173734,01-04-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,487
173742,01-08-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,352
173750,01-12-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,399
173758,01-02-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,487
173767,01-01-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,401
173774,01-07-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,357
173781,01-06-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,433
173790,01-03-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,335
173799,01-05-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,434
173808,01-11-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,387
173817,01-10-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,383
